epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.1057,1.91746,2.18497,1.79389,0.57395,0.48062,0.499,0.19902,2.13063,2.57776,1.9044,0.000653846,0.000653846,0.000653846
2,78.2589,1.98931,2.15183,1.86735,0.61452,0.41085,0.47769,0.19648,2.11908,2.08463,1.8408,0.00118978,0.00118978,0.00118978
3,100.633,1.91443,2.13616,1.7999,0.52142,0.51522,0.5112,0.20373,2.15433,2.48711,1.90745,0.00159372,0.00159372,0.00159372
4,122.103,1.93057,1.88113,1.77579,0.59294,0.47287,0.5071,0.18889,2.01388,2.6823,1.82424,0.001406,0.001406,0.001406
5,143.914,1.81945,1.87652,1.77587,0.60173,0.51938,0.58118,0.23257,1.97863,2.32608,1.89828,0.001208,0.001208,0.001208
6,166.926,1.82363,1.66948,1.75401,0.71136,0.56589,0.5956,0.22574,2.05265,1.76482,1.88375,0.00101,0.00101,0.00101
7,190.165,1.723,1.53791,1.70827,0.67736,0.6124,0.66201,0.28079,1.93641,1.67724,1.83598,0.000812,0.000812,0.000812
8,213.027,1.71499,1.48379,1.63933,0.67782,0.65238,0.68456,0.30042,1.96241,1.58436,1.80933,0.000614,0.000614,0.000614
9,236.806,1.68238,1.38311,1.60316,0.72094,0.60082,0.66766,0.29139,1.95633,1.60098,1.82611,0.000416,0.000416,0.000416
10,261.064,1.61509,1.33184,1.59354,0.68815,0.65891,0.68346,0.2995,1.92604,1.4959,1.76989,0.000218,0.000218,0.000218
